"","nazev","typ","subtyp","long","lat","address"
"99","Mgr. HANA SOLDÁNOVÁ","Zdravotnictví","Soukromá ordinace",16.879388,49.156375,"Malinovského 551, 684 01 Slavkov u Brna, Czechia"
"100","MDDr. LUCIE KONEČNÁ","Zdravotnictví","Soukromá ordinace",16.775512,49.015821,"Divácká 583, 691 76 Šitbořice, Czechia"
"101","Neuron Medical s.r.o., rehabilitace Palachovo náměstí","Zdravotnictví","Soukromá ordinace",16.565164,49.174491,"5 budova D, Palachovo nám. 799, 625 00 Brno-Starý Lískovec, Czechia"
"102","Specializovaná fyzioterapie pro děti s.r.o.","Zdravotnictví","Soukromá ordinace",16.530276,49.225631,"nám. 28. dubna 1069/2, 635 00 Brno-Bystrc, Czechia"
"103","Success Smile clinic s.r.o.","Zdravotnictví","Soukromá ordinace",16.592259,49.181976,"Vinohrady 484/16, 639 00 Brno-střed-Štýřice, Czechia"
"104","MUDr. VERONIKA LIŠČÁKOVÁ","Zdravotnictví","Soukromá ordinace",16.611151,49.191417,"Masarykova 506/37, 602 00 Brno-Brno-střed, Czechia"
"105","Mgr. VERONIKA ZAŤKOVÁ","Zdravotnictví","Soukromá ordinace",16.592816,49.181194,"8, Jílová 114, 639 00 Brno-střed, Czechia"
"106","MUDr. Adam Trávniček","Zdravotnictví","Soukromá ordinace",16.645134,49.198867,"Gajdošova 54, 615 00 Brno-Brno-Židenice, Czechia"
"107","Robert Simon Johnson","Zdravotnictví","Soukromá ordinace",16.603193,49.192396,"Pekařská 12, 602 00 Brno-střed, Czechia"
"108","Zubní centrum Durďákova s.r.o.","Zdravotnictví","Soukromá ordinace",16.598251,49.222915,"Rostislavovo nám. 2852/11, 612 00 Brno-Královo Pole, Czechia"
"109","BB Health Clinic s.r.o.","Zdravotnictví","Soukromá ordinace",16.599601,49.197714,"Údolní 393/18, 602 00 Brno-střed-Veveří, Czechia"
"110","Medicospin s.r.o.","Zdravotnictví","Soukromá ordinace",16.85821,48.996809,"Zámecká 737/12, 691 72 Klobouky u Brna, Czechia"
"111","Iveta Zahradníková","Zdravotnictví","Soukromá ordinace",16.625671,49.18684,"Masná 229/34, 602 00 Brno-Brno-jih, Czechia"
"112","Mgr. Martina Šaclová","Zdravotnictví","Soukromá ordinace",16.428719,49.351521,"Družstevní 540, 666 01 Tišnov-Tišnov 1, Czechia"
"113","Dr.med.univ. Linda Čák","Zdravotnictví","Soukromá ordinace",16.524933,48.981935,"Brněnská 120, 691 23 Pohořelice, Czechia"
"114","PhDr. DRAHOMÍR BALAŠTÍK","Zdravotnictví","Soukromá ordinace",16.60994,49.208808,"Drobného 312/48, 602 00 Brno-Brno-sever, Czechia"
"115","Mgr. ŠÁRKA KEPRDOVÁ, Ph.D.","Zdravotnictví","Soukromá ordinace",16.625671,49.18684,"Masná 229/34, 602 00 Brno-Brno-jih, Czechia"
"116","Syndenta parodontologie s.r.o.","Zdravotnictví","Soukromá ordinace",16.582853,49.190048,"Hlinky 92, 603 00 Brno-Brno-střed, Czechia"
"117","Klinika Podané ruce s.r.o.","Zdravotnictví","Soukromá ordinace",16.602181,49.156103,"Vídeňská 100/117, 619 00 Brno-jih, Czechia"
"118","DENTASTOL s.r.o.","Zdravotnictví","Soukromá ordinace",16.607553,49.1338,"Nádražní 540, 664 42 Modřice, Czechia"
"119","Magnetická rezonance Alfa s.r.o.","Zdravotnictví","Soukromá ordinace",16.625407,49.215819,"Hansmannova 482/13, 613 00 Brno-sever-Černá Pole, Czechia"
"120","PROGYN R+R s.r.o.","Zdravotnictví","Soukromá ordinace",16.990138,49.275593,"J. Wolkera 495/3, 682 01 Vyškov-Vyškov 1, Czechia"
"121","MUDr. Martin Bulik Ph.D.","Zdravotnictví","Soukromá ordinace",16.525116,48.98322,"Brněnská 1, 691 23 Pohořelice, Czechia"
"122","Medicas s.r.o.","Zdravotnictví","Soukromá ordinace",16.613151,49.195557,"Malinovského nám. 211/5, 602 00 Brno-střed, Czechia"
"123","MUDr. Veronika Doležalová","Zdravotnictví","Soukromá ordinace",17.00624,49.148391,"Dvorská 487, 685 01 Bučovice, Czechia"
"124","MUDr. Josef Němec s.r.o.","Zdravotnictví","Soukromá ordinace",16.828721,49.142406,"Na Liškově 171, 683 52 Křenovice-Křenovice u Slavkova, Czechia"
"125","Mgr. Marek Fojtách","Zdravotnictví","Soukromá ordinace",16.580316,49.169277,"Běloruská 575/2, 625 00 Brno-Bohunice, Czechia"
"126","Mgr. Barbora Morávková","Zdravotnictví","Soukromá ordinace",16.619158,49.182534,"Plotní 24, 602 00 Brno-Brno-jih, Czechia"
"127","Mgr. Tereza Straková","Zdravotnictví","Soukromá ordinace",16.612279,49.207006,"Schodová 306, 602 00 Brno-sever, Czechia"
"128","Mgr. Pavla Horáčková","Zdravotnictví","Soukromá ordinace",16.644146,49.366726,"Bezručova 1138/15, 678 01 Blansko-Blansko 1, Czechia"
